,country,year,gdp,debt_statistic,value,population,debt_normalized_by_population,population_normalized_by_debt,log_gdp
0,argentina,2012,545982375701.128,Total External debt stocks,139877.7,41733271.0,0.003351707082821282,298.35542763428333,27.025852533234676
1,argentina,2012,545982375701.128,Use of IMF Credit,3104.6,41733271.0,7.439148491379935e-05,13442.398698705148,27.025852533234676
2,argentina,2012,545982375701.128,Long-term external debt,111521.1,41733271.0,0.0026722348219481765,374.21860975187656,27.025852533234676
3,argentina,2012,545982375701.128,Public and publicly guaranteed sector,70577.7,41733271.0,0.0016911614716229647,591.309592123291,27.025852533234676
4,argentina,2012,545982375701.128,Public sector,70480.2,41733271.0,0.001688825206152664,592.127590443841,27.025852533234676
5,argentina,2012,545982375701.128,of which: General Government,68156.0,41733271.0,0.0016331334296801226,612.3198397793298,27.025852533234676
6,argentina,2012,545982375701.128,Private sector guaranteed by public sector,97.5,41733271.0,2.3362654703006627e-06,428033.5487179487,27.025852533234676
7,argentina,2012,545982375701.128,Private sector not guaranteed,40943.4,41733271.0,0.0009810733503252118,1019.2917784062877,27.025852533234676
8,argentina,2012,545982375701.128,Short-term external debt,25251.9,41733271.0,0.0006050783797895929,1652.6784519184694,27.025852533234676
9,argentina,2012,545982375701.128,Disbursements (long-term),7577.0,41733271.0,0.0001815577791637756,5507.88847828956,27.025852533234676
10,argentina,2012,545982375701.128,Public and publicly guaranteed sector,2287.4,41733271.0,5.480998601811011e-05,18244.850485267114,27.025852533234676
11,argentina,2012,545982375701.128,Public sector,2287.4,41733271.0,5.480998601811011e-05,18244.850485267114,27.025852533234676
12,argentina,2012,545982375701.128,of which: General Government,2159.3,41733271.0,5.174049261559201e-05,19327.22224795072,27.025852533234676
13,argentina,2012,545982375701.128,Private sector guaranteed by public sector,0.0,41733271.0,0.0,inf,27.025852533234676
14,argentina,2012,545982375701.128,Private sector not guaranteed,5289.6,41733271.0,0.0001267477931456655,7889.683718995765,27.025852533234676
15,argentina,2012,545982375701.128,Principal repayments (long-term),9784.7,41733271.0,0.000234458017920522,4265.155906670618,27.025852533234676
16,argentina,2012,545982375701.128,Public and publicly guaranteed sector,3477.7,41733271.0,8.333159411348321e-05,12000.250452885528,27.025852533234676
17,argentina,2012,545982375701.128,Public sector,3473.6,41733271.0,8.323335115524493e-05,12014.414728235837,27.025852533234676
18,argentina,2012,545982375701.128,of which: General Government,3292.3,41733271.0,7.888909546534228e-05,12676.02314491389,27.025852533234676
19,argentina,2012,545982375701.128,Private sector guaranteed by public sector,4.1,41733271.0,9.824295823828426e-08,10178846.585365854,27.025852533234676
20,argentina,2012,545982375701.128,Private sector not guaranteed,6307.1,41733271.0,0.00015112881997675188,6616.871620871716,27.025852533234676
21,argentina,2012,545982375701.128,Interest payments (long-term),3526.9,41733271.0,8.451050961234263e-05,11832.847826703337,27.025852533234676
22,argentina,2012,545982375701.128,Public and publicly guaranteed sector,2620.1,41733271.0,6.27820426536899e-05,15928.121445746347,27.025852533234676
23,argentina,2012,545982375701.128,Public sector,2620.0,41733271.0,6.277964648397677e-05,15928.729389312977,27.025852533234676
24,argentina,2012,545982375701.128,of which: General Government,2566.5,41733271.0,6.149769568745282e-05,16260.771868303136,27.025852533234676
25,argentina,2012,545982375701.128,Private sector guaranteed by public sector,0.1,41733271.0,2.396169713128885e-09,417332710.0,27.025852533234676
26,argentina,2012,545982375701.128,Private sector not guaranteed,906.8,41733271.0,2.1728466958652724e-05,46022.574988972214,27.025852533234676
27,argentina,2012,545982375701.128,Summary external debt stock by creditor type,,41733271.0,,,27.025852533234676
28,argentina,2012,545982375701.128,Long-term External debt stocks,111521.1,41733271.0,0.0026722348219481765,374.21860975187656,27.025852533234676
29,argentina,2012,545982375701.128,Public and publicly guaranteed debt from:,70577.7,41733271.0,0.0016911614716229647,591.309592123291,27.025852533234676
30,argentina,2012,545982375701.128,Official creditors,23557.5,41733271.0,0.000564477680170337,1771.549230605964,27.025852533234676
31,argentina,2012,545982375701.128,Multilateral,18360.2,41733271.0,0.00043994155166988947,2273.0292153680243,27.025852533234676
32,argentina,2012,545982375701.128,Bilateral,5197.2,41733271.0,0.00012453373233073438,8029.952859231895,27.025852533234676
33,argentina,2012,545982375701.128,Private creditors,47020.2,41733271.0,0.0011266837914526277,887.560474009043,27.025852533234676
34,argentina,2012,545982375701.128,Bondholders,45385.8,41733271.0,0.0010875207936612494,919.5226480529152,27.025852533234676
35,argentina,2012,545982375701.128,Commercial banks and others,1634.5,41733271.0,3.916539396109162e-05,25532.744570204955,27.025852533234676
36,argentina,2012,545982375701.128,  Private nonguaranteed debt from:,40943.4,41733271.0,0.0009810733503252118,1019.2917784062877,27.025852533234676
37,argentina,2012,545982375701.128,Bondholders,6535.6,41733271.0,0.00015660406777125139,6385.530173205214,27.025852533234676
38,argentina,2012,545982375701.128,Commercial banks and others,34407.9,41733271.0,0.0008244716787236735,1212.8979391360704,27.025852533234676
39,argentina,2012,545982375701.128,Net financial inflows,,41733271.0,,,27.025852533234676
40,argentina,2012,545982375701.128,Net debt inflows,,41733271.0,,,27.025852533234676
41,argentina,2012,545982375701.128,Long-term,-2207.7,41733271.0,-5.290023875674638e-05,-18903.506364089324,27.025852533234676
42,argentina,2012,545982375701.128,Official creditors,166.5,41733271.0,3.989622572359593e-06,250650.27627627627,27.025852533234676
43,argentina,2012,545982375701.128,Multilateral,380.8,41733271.0,9.124614267594793e-06,109593.67384453781,27.025852533234676
44,argentina,2012,545982375701.128,Bilateral,-214.3,41733271.0,-5.1349916952352e-06,-194742.2818478768,27.025852533234676
45,argentina,2012,545982375701.128,Private creditors,-2374.2,41733271.0,-5.688986132910598e-05,-17577.824530368125,27.025852533234676
46,argentina,2012,545982375701.128,Bondholders,-1881.9,41733271.0,-4.5093517831372485e-05,-22176.13635155959,27.025852533234676
47,argentina,2012,545982375701.128,Banks and other private,-492.3,41733271.0,-1.1796343497733499e-05,-84772.03128173877,27.025852533234676
48,argentina,2012,545982375701.128,Short-term,-678.0,41733271.0,-1.6246030655013836e-05,-61553.49705014749,27.025852533234676
49,argentina,2012,545982375701.128,Net equity inflows,,41733271.0,,,27.025852533234676
50,argentina,2012,545982375701.128,Foreign direct investment,12203.8,41733271.0,0.0002924237594508228,3419.694767203658,27.025852533234676
51,argentina,2012,545982375701.128,Portfolio equity,-134.9,41733271.0,-3.2324329430108657e-06,-309364.49962935504,27.025852533234676
52,argentina,2012,545982375701.128,Debt ratios,,41733271.0,,,27.025852533234676
53,argentina,2012,545982375701.128,External debt stocks to exports (%),144.8,41733271.0,3.469653744610625e-06,288213.1975138121,27.025852533234676
54,argentina,2012,545982375701.128,External debt stocks to GNI (%),26.3,41733271.0,6.301926345528967e-07,1586816.3878326996,27.025852533234676
55,argentina,2012,545982375701.128,Debt service to exports (%),14.1,41733271.0,3.3785992955117275e-07,2959806.4539007093,27.025852533234676
56,argentina,2012,545982375701.128,Short-term to external debt stocks (%),18.1,41733271.0,4.3370671807632814e-07,2305705.580110497,27.025852533234676
57,argentina,2012,545982375701.128,Multilateral to external debt stocks (%),13.1,41733271.0,3.138982324198839e-07,3185745.8778625955,27.025852533234676
58,argentina,2012,545982375701.128,Reserves to external debt stocks (%),28.5,41733271.0,6.829083682417321e-07,1464325.298245614,27.025852533234676
59,argentina,2012,545982375701.128,Gross national income (GNI),532228.5,41733271.0,0.012753098121640166,78.41231914487857,27.025852533234676
60,argentina,2013,552025140252.2463,Total External debt stocks,150225.0,42202935.0,0.003559586554821365,280.9315027458812,27.03685942612164
61,argentina,2013,552025140252.2463,Use of IMF Credit,3110.9,42202935.0,7.371288276514417e-05,13566.149667298852,27.03685942612164
62,argentina,2013,552025140252.2463,Long-term external debt,110422.6,42202935.0,0.0026164673144178246,382.1947228194228,27.03685942612164
63,argentina,2013,552025140252.2463,Public and publicly guaranteed sector,69886.3,42202935.0,0.0016559582882091021,603.8799449963726,27.03685942612164
64,argentina,2013,552025140252.2463,Public sector,69791.5,42202935.0,0.0016537119989403581,604.7002142094668,27.03685942612164
65,argentina,2013,552025140252.2463,of which: General Government,67207.7,42202935.0,0.0015924887688498442,627.9479137063164,27.03685942612164
66,argentina,2013,552025140252.2463,Private sector guaranteed by public sector,94.8,42202935.0,2.2462892687439868e-06,445178.63924050634,27.03685942612164
67,argentina,2013,552025140252.2463,Private sector not guaranteed,40536.2,42202935.0,0.0009605066567052741,1041.1171989481008,27.03685942612164
68,argentina,2013,552025140252.2463,Short-term external debt,36691.6,42202935.0,0.0008694087271418445,1150.2069956066239,27.03685942612164
69,argentina,2013,552025140252.2463,Disbursements (long-term),11195.2,42202935.0,0.00026527065001521815,3769.734797055881,27.03685942612164
70,argentina,2013,552025140252.2463,Public and publicly guaranteed sector,4212.8,42202935.0,9.982244125912097e-05,10017.787457273073,27.03685942612164
71,argentina,2013,552025140252.2463,Public sector,4212.8,42202935.0,9.982244125912097e-05,10017.787457273073,27.03685942612164
72,argentina,2013,552025140252.2463,of which: General Government,3749.7,42202935.0,8.884927079123762e-05,11255.016401312105,27.03685942612164
73,argentina,2013,552025140252.2463,Private sector guaranteed by public sector,0.0,42202935.0,0.0,inf,27.03685942612164
